timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1770538249024861800,1.0341217517852783,-9.31071949005127,1334.7666835784912,1267.5904154777527,1354.8060035705566,1328.129482269287,1.5,10.5,1,1,0,0
1770538249062668600,1.7630480527877808,-9.51058292388916,1321.9382572174072,1196.7142224311829,1366.0084533691406,1328.129482269287,4.5,9.0,1,1,0,0
1770538249102592800,1.375543236732483,-10.431511878967285,1305.767068862915,1316.8893098831177,1354.8060035705566,1328.129482269287,0.0,4.5,1,1,0,0
1770538249142986100,1.6664762496948242,-10.557350158691406,1294.912576675415,1331.2662720680237,1334.7666835784912,1328.129482269287,8.5,4.0,1,1,0,0
1770538249180787700,-0.16356636583805084,-7.256756782531738,1312.4659824371338,1128.2586693763733,1321.9382572174072,1328.129482269287,27.0,13.5,1,1,0,0
1770538249221659000,0.7901241779327393,-9.088011741638184,1332.5462436676025,1359.5659375190735,1332.5462436676025,1328.129482269287,86.0,16.5,1,1,0,0
1770538249259360800,-0.9079107046127319,-10.321825981140137,1220.580883026123,1397.791600227356,1321.9382572174072,1328.129482269287,85.0,41.0,1,1,0,0
1770538249298879200,0.2137809842824936,-10.049674034118652,1276.9339656829834,1418.7264561653137,1321.9382572174072,1328.129482269287,107.5,49.0,1,1,0,0
1770538249338043900,0.26099181175231934,-9.601773262023926,1250.7353496551514,1357.4926972389221,1321.9382572174072,1357.4926972389221,103.0,57.5,1,1,0,0
1770538249378395900,-0.06506086885929108,-10.9175443649292,1291.5922164916992,1451.235580444336,1291.5922164916992,1357.4926972389221,79.5,47.5,1,1,0,0
1770538249416476600,1.5504239797592163,-5.213416576385498,1247.1683979034424,964.4906044006348,1291.5922164916992,1328.129482269287,29.0,16.0,1,1,0,0
1770538249451534200,1.0384892225265503,-5.762641429901123,1257.403621673584,1054.1621088981628,1291.5922164916992,1357.4926972389221,32.5,11.5,1,1,0,0
1770538249485634500,1.0800213813781738,-6.350266933441162,1270.2663803100586,1095.1868176460266,1291.5922164916992,1328.129482269287,1.5,15.5,1,1,0,0
